client_id,risk_score
2093512197060944087,74
14902696327131978534,63
7296634610824706766,81
18351791503784929363,31
16911701211089180592,50
6589620509908290426,64
6333443634796325581,86
16925903994285105429,52
2530506616488742884,66
8003073797326328444,59
3384871011133392012,65
12582746073641133518,65
10011616823401533624,55
8357764846414563365,54
15308516564805125505,23
5523308024587971937,35
15420806036002449153,75
12521792891984289413,21
12744250419231381071,56
12461305498405906212,89
4934772401875282290,33
14951730165637766614,53
13519602075883969693,42
16035209309023253364,50
16361014581068106574,53
4991519997411008875,71
9242518727940748566,59
15603340293818302727,95
14401808220755453911,50
10734184915202282647,90
2161412975347754340,30
10162392452673852233,85
13994393900337898008,48
16995109740430470314,33
5451361519731822513,82
11382856250759332474,76
2985445476825457983,80
4979121153689300658,23
17545426285996766362,20
10915351001062686722,88
13403732645145043280,21
11707832208225942117,22
3848972186325660877,57
2892366782482231161,54
6390123241804087328,52
8134444714524658719,23
16439425317667531438,73
7135207232932652103,64
7774177673015131636,22
9834931764336693536,87
5739383208120380220,67
462916160986493046,39
7693183302126125278,61
8167437399496434936,46
9416353676757288351,25
14207505510211994112,94
208276650812053989,48
4346834063526691746,40
2185375699264951824,61
4238522590521852386,73
7818765240659413187,66
7966219204983069177,66
3360102109864818138,55
17206971601693393184,49
6377714333948388745,62
3985446986781538382,26
11618711002346181816,92
2288142271166967445,50
11184281390171663380,64
1004593161099713128,59
7725806354406841223,79
7703345869767127090,37
9603563783955105377,63
14728628541247310189,86
2932871813044969173,52
5387091163936504428,30
15738386188987333782,59
3985057338803215340,82
13373217335546170589,68
7996728686577991927,36
11341751517758348102,39
12407406596106562561,33
16500816690610528398,86
5145792962630664131,83
1171241802307513606,84
13995705212583602962,75
16995532637676907727,26
7541411593084102907,45
7233887214431174384,60
7186916645172348569,69
13157840899883099017,76
2381478959872774921,80
2128342267176881160,39
10989194914367201366,72
9579811649011457638,64
8020548506214324857,88
6026705026392130957,66
2387352785585059102,34
4656466524884755763,20
12660395291774772301,20
7934800784662079242,85
